 
--------------------------------------------------------------------------------
 40-Zr- 91   T= 0.00 K from IAEA/PD-2019       (ACEMAKER)
 ZAID= 40091.38u  MAT=4028  ZA= 40091
 AWR=  90.124730  STA=  0  ELIS=   0.000 MeV  LIS=  0  LISO=  0
--------------------------------------------------------------------------------
 NTOTR= 137 NTRAN=   1 NPROD= 136 NE=      88 EMAX= 200.000 MeV
   i   FMn/MT     Q [MeV]     T [MeV] LMF  MT    ZAP LFS
   1        5    0.000000    1.000000   3   5
   2 50000001    0.000000    7.000000   6   5      1   0
   3 50001001    0.000000    9.500000   6   5   1001   0
   4 50001002    0.000000   14.500000   6   5   1002   0
   5 50001003    0.000000   20.000000   6   5   1003   0
   6 50002003    0.000000   19.000000   6   5   2003   0
   7 50002004    0.000000   10.000000   6   5   2004   0
   8 50030061    0.000000  150.000000   6   5  30061   0
   9 50030062    0.000000  140.000000   6   5  30062   0
  10 50030063    0.000000  130.000000   6   5  30063   0
  11 50030064    0.000000  130.000000   6   5  30064   0
  12 50030065    0.000000  130.000000   6   5  30065   0
  13 50030066    0.000000  130.000000   6   5  30066   0
  14 50031063    0.000000  140.000000   6   5  31063   0
  15 50031064    0.000000  130.000000   6   5  31064   0
  16 50031065    0.000000  130.000000   6   5  31065   0
  17 50031066    0.000000  120.000000   6   5  31066   0
  18 50031067    0.000000  120.000000   6   5  31067   0
  19 50031068    0.000000  120.000000   6   5  31068   0
  20 50031069    0.000000  120.000000   6   5  31069   0
  21 50032066    0.000000  130.000000   6   5  32066   0
  22 50032067    0.000000  120.000000   6   5  32067   0
  23 50032068    0.000000  120.000000   6   5  32068   0
  24 50032069    0.000000  120.000000   6   5  32069   0
  25 50032070    0.000000  120.000000   6   5  32070   0
  26 50032071    0.000000  120.000000   6   5  32071   0
  27 50033068    0.000000  130.000000   6   5  33068   0
  28 50033069    0.000000  120.000000   6   5  33069   0
  29 50033070    0.000000  110.000000   6   5  33070   0
  30 50033071    0.000000  110.000000   6   5  33071   0
  31 50033072    0.000000  110.000000   6   5  33072   0
  32 50033073    0.000000  110.000000   6   5  33073   0
  33 50033074    0.000000  110.000000   6   5  33074   0
  34 50034070    0.000000  130.000000   6   5  34070   0
  35 50034071    0.000000  120.000000   6   5  34071   0
  36 50034072    0.000000  110.000000   6   5  34072   0
  37 50034073    0.000000  110.000000   6   5  34073   0
  38 51034073    0.000000  110.000000   6   5  34073   1
  39 50034074    0.000000  110.000000   6   5  34074   0
  40 50034075    0.000000  110.000000   6   5  34075   0
