 
--------------------------------------------------------------------------------
 49-In-115   T= 0.00 K from IAEA/PD-2019       (ACEMAKER)
 ZAID= 49115.38u  MAT=4931  ZA= 49115
 AWR= 113.916800  STA=  0  ELIS=   0.000 MeV  LIS=  0  LISO=  0
--------------------------------------------------------------------------------
 NTOTR= 167 NTRAN=   1 NPROD= 166 NE=      88 EMAX= 200.000 MeV
   i   FMn/MT     Q [MeV]     T [MeV] LMF  MT    ZAP LFS
   1        5    0.000000    1.000000   3   5
   2 50000001    0.000000    9.000000   6   5      1   0
   3 50001001    0.000000    8.500000   6   5   1001   0
   4 50001002    0.000000   15.000000   6   5   1002   0
   5 50001003    0.000000   16.500000   6   5   1003   0
   6 50002003    0.000000   23.000000   6   5   2003   0
   7 50002004    0.000000    9.500000   6   5   2004   0
   8 50039085    0.000000  130.000000   6   5  39085   0
   9 51039085    0.000000  130.000000   6   5  39085   1
  10 50039086    0.000000  130.000000   6   5  39086   0
  11 52039086    0.000000  130.000000   6   5  39086   2
  12 50039087    0.000000  130.000000   6   5  39087   0
  13 51039087    0.000000  130.000000   6   5  39087   1
  14 50039088    0.000000  130.000000   6   5  39088   0
  15 50040086    0.000000  130.000000   6   5  40086   0
  16 50040087    0.000000  120.000000   6   5  40087   0
  17 52040087    0.000000  120.000000   6   5  40087   2
  18 50040088    0.000000  120.000000   6   5  40088   0
  19 50040089    0.000000  120.000000   6   5  40089   0
  20 51040089    0.000000  120.000000   6   5  40089   1
  21 50041087    0.000000  130.000000   6   5  41087   0
  22 51041087    0.000000  130.000000   6   5  41087   1
  23 50041088    0.000000  120.000000   6   5  41088   0
  24 51041088    0.000000  120.000000   6   5  41088   1
  25 50041089    0.000000  120.000000   6   5  41089   0
  26 51041089    0.000000  120.000000   6   5  41089   1
  27 50041090    0.000000  120.000000   6   5  41090   0
  28 52041090    0.000000  120.000000   6   5  41090   2
  29 50041091    0.000000  120.000000   6   5  41091   0
  30 51041091    0.000000  120.000000   6   5  41091   1
  31 50042088    0.000000  140.000000   6   5  42088   0
  32 50042089    0.000000  130.000000   6   5  42089   0
  33 50042090    0.000000  120.000000   6   5  42090   0
  34 50042091    0.000000  110.000000   6   5  42091   0
  35 51042091    0.000000  110.000000   6   5  42091   1
  36 50042092    0.000000  110.000000   6   5  42092   0
