 
--------------------------------------------------------------------------------
 63-Eu-153   T= 0.00 K from IAEA/PD-2019       (ACEMAKER)
 ZAID= 63153.38u  MAT=6331  ZA= 63153
 AWR= 151.607600  STA=  0  ELIS=   0.000 MeV  LIS=  0  LISO=  0
--------------------------------------------------------------------------------
 NTOTR= 138 NTRAN=   1 NPROD= 137 NE=      89 EMAX= 200.000 MeV
   i   FMn/MT     Q [MeV]     T [MeV] LMF  MT    ZAP LFS
   1        5    0.000000    1.000000   3   5
   2 50000001    0.000000    8.500000   6   5      1   0
   3 50001001    0.000000    8.000000   6   5   1001   0
   4 50001002    0.000000   13.500000   6   5   1002   0
   5 50001003    0.000000   14.000000   6   5   1003   0
   6 50002003    0.000000   21.000000   6   5   2003   0
   7 50002004    0.000000    7.000000   6   5   2004   0
   8 50054124    0.000000  110.000000   6   5  54124   0
   9 50054125    0.000000  110.000000   6   5  54125   0
  10 52054125    0.000000  110.000000   6   5  54125   2
  11 50054126    0.000000  110.000000   6   5  54126   0
  12 50054128    0.000000  110.000000   6   5  54128   0
  13 50056126    0.000000  110.000000   6   5  56126   0
  14 50056127    0.000000  110.000000   6   5  56127   0
  15 52056127    0.000000  110.000000   6   5  56127   2
  16 50056128    0.000000  110.000000   6   5  56128   0
  17 50057127    0.000000  110.000000   6   5  57127   0
  18 51057127    0.000000  110.000000   6   5  57127   1
  19 50057128    0.000000  110.000000   6   5  57128   0
  20 56057128    0.000000  110.000000   6   5  57128   6
  21 50057129    0.000000  100.000000   6   5  57129   0
  22 50057130    0.000000  100.000000   6   5  57130   0
  23 50057131    0.000000  100.000000   6   5  57131   0
  24 50057132    0.000000  100.000000   6   5  57132   0
  25 54057132    0.000000  100.000000   6   5  57132   4
  26 50058128    0.000000  130.000000   6   5  58128   0
  27 50058129    0.000000  120.000000   6   5  58129   0
  28 50058130    0.000000  110.000000   6   5  58130   0
  29 50058131    0.000000  100.000000   6   5  58131   0
  30 51058131    0.000000  100.000000   6   5  58131   1
  31 50058132    0.000000  100.000000   6   5  58132   0
  32 50058133    0.000000   95.000000   6   5  58133   0
  33 51058133    0.000000   95.000000   6   5  58133   1
  34 50058134    0.000000   90.000000   6   5  58134   0
  35 50058135    0.000000   90.000000   6   5  58135   0
  36 54058135    0.000000   90.000000   6   5  58135   4
  37 50059129    0.000000  140.000000   6   5  59129   0
  38 50059130    0.000000  120.000000   6   5  59130   0
  39 50059131    0.000000  110.000000   6   5  59131   0
  40 52059131    0.000000  110.000000   6   5  59131   2
  41 50059132    0.000000  100.000000   6   5  59132   0
  42 50059133    0.000000   95.000000   6   5  59133   0
  43 53059133    0.000000   95.000000   6   5  59133   3
  44 50059134    0.000000   90.000000   6   5  59134   0
  45 51059134    0.000000   90.000000   6   5  59134   1
  46 50059135    0.000000   85.000000   6   5  59135   0
  47 50059136    0.000000   80.000000   6   5  59136   0
  48 50059137    0.000000   78.000000   6   5  59137   0
  49 50059138    0.000000   78.000000   6   5  59138   0
  50 55059138    0.000000   78.000000   6   5  59138   5
  51 50059139    0.000000   78.000000   6   5  59139   0
  52 50060130    0.000000  160.000000   6   5  60130   0
  53 50060131    0.000000  150.000000   6   5  60131   0
  54 50060132    0.000000  140.000000   6   5  60132   0
  55 50060133    0.000000  120.000000   6   5  60133   0
  56 51060133    0.000000  120.000000   6   5  60133   1
