 
--------------------------------------------------------------------------------
 50-Sn-116   T= 0.00 K from IAEA/PD-2019       (ACEMAKER)
 ZAID= 50116.38u  MAT=5037  ZA= 50116
 AWR= 114.906100  STA=  0  ELIS=   0.000 MeV  LIS=  0  LISO=  0
--------------------------------------------------------------------------------
 NTOTR= 161 NTRAN=   1 NPROD= 160 NE=      87 EMAX= 200.000 MeV
   i   FMn/MT     Q [MeV]     T [MeV] LMF  MT    ZAP LFS
   1        5    0.000000    1.500000   3   5
   2 50000001    0.000000    9.500000   6   5      1   0
   3 50001001    0.000000   11.000000   6   5   1001   0
   4 50001002    0.000000   17.500000   6   5   1002   0
   5 50001003    0.000000   19.500000   6   5   1003   0
   6 50002003    0.000000   23.000000   6   5   2003   0
   7 50002004    0.000000    9.000000   6   5   2004   0
   8 50040086    0.000000  130.000000   6   5  40086   0
   9 50040087    0.000000  130.000000   6   5  40087   0
  10 52040087    0.000000  130.000000   6   5  40087   2
  11 50040088    0.000000  130.000000   6   5  40088   0
  12 50040089    0.000000  130.000000   6   5  40089   0
  13 51040089    0.000000  130.000000   6   5  40089   1
  14 50041087    0.000000  130.000000   6   5  41087   0
  15 51041087    0.000000  130.000000   6   5  41087   1
  16 50041088    0.000000  130.000000   6   5  41088   0
  17 51041088    0.000000  130.000000   6   5  41088   1
  18 50041089    0.000000  120.000000   6   5  41089   0
  19 51041089    0.000000  120.000000   6   5  41089   1
  20 50041090    0.000000  120.000000   6   5  41090   0
  21 52041090    0.000000  120.000000   6   5  41090   2
  22 50041091    0.000000  120.000000   6   5  41091   0
  23 51041091    0.000000  120.000000   6   5  41091   1
  24 50042088    0.000000  130.000000   6   5  42088   0
  25 50042089    0.000000  130.000000   6   5  42089   0
  26 50042090    0.000000  120.000000   6   5  42090   0
  27 50042091    0.000000  120.000000   6   5  42091   0
  28 51042091    0.000000  120.000000   6   5  42091   1
  29 50042092    0.000000  110.000000   6   5  42092   0
  30 50042093    0.000000  120.000000   6   5  42093   0
  31 66042093    0.000000  120.000000   6   5  42093  16
  32 50043090    0.000000  130.000000   6   5  43090   0
  33 54043090    0.000000  130.000000   6   5  43090   4
  34 56043090    0.000000  130.000000   6   5  43090   6
  35 50043091    0.000000  120.000000   6   5  43091   0
  36 51043091    0.000000  120.000000   6   5  43091   1
  37 50043092    0.000000  110.000000   6   5  43092   0
  38 50043093    0.000000  110.000000   6   5  43093   0
  39 51043093    0.000000  110.000000   6   5  43093   1
  40 50043094    0.000000  110.000000   6   5  43094   0
  41 51043094    0.000000  110.000000   6   5  43094   1
  42 50043095    0.000000  110.000000   6   5  43095   0
  43 51043095    0.000000  110.000000   6   5  43095   1
  44 50043096    0.000000  110.000000   6   5  43096   0
  45 51043096    0.000000  110.000000   6   5  43096   1
  46 50044092    0.000000  130.000000   6   5  44092   0
  47 50044093    0.000000  120.000000   6   5  44093   0
  48 51044093    0.000000  120.000000   6   5  44093   1
  49 50044094    0.000000  110.000000   6   5  44094   0
  50 50044095    0.000000  110.000000   6   5  44095   0
  51 50044096    0.000000  110.000000   6   5  44096   0
  52 50044097    0.000000  110.000000   6   5  44097   0
  53 50044098    0.000000  110.000000   6   5  44098   0
  54 50045094    0.000000  130.000000   6   5  45094   0
  55 52045094    0.000000  130.000000   6   5  45094   2
  56 50045095    0.000000  110.000000   6   5  45095   0
  57 51045095    0.000000  110.000000   6   5  45095   1
  58 50045096    0.000000  110.000000   6   5  45096   0
  59 51045096    0.000000  110.000000   6   5  45096   1
  60 50045097    0.000000  100.000000   6   5  45097   0
  61 51045097    0.000000  100.000000   6   5  45097   1
  62 50045098    0.000000  100.000000   6   5  45098   0
  63 53045098    0.000000  100.000000   6   5  45098   3
  64 50045099    0.000000  100.000000   6   5  45099   0
  65 51045099    0.000000  100.000000   6   5  45099   1
