 
--------------------------------------------------------------------------------
 55-Cs-133   T= 0.00 K from IAEA/PD-2019       (ACEMAKER)
 ZAID= 55133.38u  MAT=5525  ZA= 55133
 AWR= 131.763700  STA=  0  ELIS=   0.000 MeV  LIS=  0  LISO=  0
--------------------------------------------------------------------------------
 NTOTR= 140 NTRAN=   1 NPROD= 139 NE=      89 EMAX= 200.000 MeV
   i   FMn/MT     Q [MeV]     T [MeV] LMF  MT    ZAP LFS
   1        5    0.000000    1.000000   3   5
   2 50000001    0.000000    8.500000   6   5      1   0
   3 50001001    0.000000    7.500000   6   5   1001   0
   4 50001002    0.000000   14.500000   6   5   1002   0
   5 50001003    0.000000   15.500000   6   5   1003   0
   6 50002003    0.000000   22.000000   6   5   2003   0
   7 50002004    0.000000    8.500000   6   5   2004   0
   8 50046104    0.000000  120.000000   6   5  46104   0
   9 50046105    0.000000  120.000000   6   5  46105   0
  10 50046106    0.000000  120.000000   6   5  46106   0
  11 50047105    0.000000  120.000000   6   5  47105   0
  12 51047105    0.000000  120.000000   6   5  47105   1
  13 50047106    0.000000  120.000000   6   5  47106   0
  14 51047106    0.000000  120.000000   6   5  47106   1
  15 50047107    0.000000  120.000000   6   5  47107   0
  16 51047107    0.000000  120.000000   6   5  47107   1
  17 50048106    0.000000  120.000000   6   5  48106   0
  18 50048107    0.000000  110.000000   6   5  48107   0
  19 50048108    0.000000  110.000000   6   5  48108   0
  20 50048109    0.000000  110.000000   6   5  48109   0
  21 50048110    0.000000  110.000000   6   5  48110   0
  22 50049107    0.000000  120.000000   6   5  49107   0
  23 51049107    0.000000  120.000000   6   5  49107   1
  24 50049108    0.000000  120.000000   6   5  49108   0
  25 51049108    0.000000  120.000000   6   5  49108   1
  26 50049109    0.000000  110.000000   6   5  49109   0
  27 51049109    0.000000  110.000000   6   5  49109   1
  28 50049110    0.000000  110.000000   6   5  49110   0
  29 51049110    0.000000  110.000000   6   5  49110   1
  30 50049111    0.000000  110.000000   6   5  49111   0
  31 51049111    0.000000  110.000000   6   5  49111   1
  32 50049112    0.000000  110.000000   6   5  49112   0
  33 51049112    0.000000  110.000000   6   5  49112   1
  34 50050108    0.000000  140.000000   6   5  50108   0
  35 50050109    0.000000  130.000000   6   5  50109   0
  36 50050110    0.000000  120.000000   6   5  50110   0
  37 50050111    0.000000  120.000000   6   5  50111   0
  38 50050112    0.000000  110.000000   6   5  50112   0
  39 50050113    0.000000  110.000000   6   5  50113   0
  40 51050113    0.000000  110.000000   6   5  50113   1
  41 50050114    0.000000  110.000000   6   5  50114   0
  42 50051110    0.000000  130.000000   6   5  51110   0
  43 50051111    0.000000  120.000000   6   5  51111   0
  44 50051112    0.000000  110.000000   6   5  51112   0
  45 50051113    0.000000  110.000000   6   5  51113   0
  46 50051114    0.000000  100.000000   6   5  51114   0
  47 50051115    0.000000  100.000000   6   5  51115   0
  48 50051116    0.000000  100.000000   6   5  51116   0
  49 53051116    0.000000  100.000000   6   5  51116   3
  50 50051117    0.000000  100.000000   6   5  51117   0
  51 50051118    0.000000  100.000000   6   5  51118   0
  52 57051118    0.000000  100.000000   6   5  51118   7
  53 50051119    0.000000  100.000000   6   5  51119   0
  54 50052112    0.000000  150.000000   6   5  52112   0
  55 50052113    0.000000  130.000000   6   5  52113   0
  56 50052114    0.000000  120.000000   6   5  52114   0
  57 50052115    0.000000  110.000000   6   5  52115   0
  58 51052115    0.000000  110.000000   6   5  52115   1
  59 50052116    0.000000  100.000000   6   5  52116   0
  60 50052117    0.000000  100.000000   6   5  52117   0
  61 50052118    0.000000   95.000000   6   5  52118   0
  62 50052119    0.000000   90.000000   6   5  52119   0
  63 52052119    0.000000   90.000000   6   5  52119   2
  64 50052120    0.000000   85.000000   6   5  52120   0
  65 50052121    0.000000   80.000000   6   5  52121   0
  66 52052121    0.000000   80.000000   6   5  52121   2
  67 50052122    0.000000   76.000000   6   5  52122   0
  68 50052123    0.000000   68.000000   6   5  52123   0
  69 52052123    0.000000   68.000000   6   5  52123   2
  70 50052124    0.000000   62.000000   6   5  52124   0
  71 50052125    0.000000   56.000000   6   5  52125   0
  72 52052125    0.000000   56.000000   6   5  52125   2
  73 50052126    0.000000   50.000000   6   5  52126   0
  74 50052127    0.000000   50.000000   6   5  52127   0
  75 52052127    0.000000   50.000000   6   5  52127   2
  76 50053114    0.000000  140.000000   6   5  53114   0
  77 53053114    0.000000  140.000000   6   5  53114   3
  78 50053115    0.000000  120.000000   6   5  53115   0
  79 50053116    0.000000  110.000000   6   5  53116   0
  80 50053117    0.000000  100.000000   6   5  53117   0
  81 50053118    0.000000  100.000000   6   5  53118   0
  82 54053118    0.000000  100.000000   6   5  53118   4
  83 50053119    0.000000   90.000000   6   5  53119   0
  84 50053120    0.000000   85.000000   6   5  53120   0
  85 63053120    0.000000   85.000000   6   5  53120  13
  86 50053121    0.000000   80.000000   6   5  53121   0
  87 50053122    0.000000   76.000000   6   5  53122   0
  88 50053123    0.000000   66.000000   6   5  53123   0
  89 50053124    0.000000   58.000000   6   5  53124   0
  90 50053125    0.000000   48.000000   6   5  53125   0
  91 50053126    0.000000   40.000000   6   5  53126   0
  92 50053127    0.000000   29.000000   6   5  53127   0
  93 50053128    0.000000   22.000000   6   5  53128   0
  94 50053129    0.000000   13.000000   6   5  53129   0
  95 50053130    0.000000   40.000000   6   5  53130   0
  96 51053130    0.000000   40.000000   6   5  53130   1
  97 50053131    0.000000   40.000000   6   5  53131   0
  98 50054116    0.000000  160.000000   6   5  54116   0
