 
--------------------------------------------------------------------------------
 58-Ce-142   T= 0.00 K from IAEA/PD-2019       (ACEMAKER)
 ZAID= 58142.38u  MAT=5843  ZA= 58142
 AWR= 140.690200  STA=  0  ELIS=   0.000 MeV  LIS=  0  LISO=  0
--------------------------------------------------------------------------------
 NTOTR= 141 NTRAN=   1 NPROD= 140 NE=      89 EMAX= 200.000 MeV
   i   FMn/MT     Q [MeV]     T [MeV] LMF  MT    ZAP LFS
   1        5    0.000000    1.000000   3   5
   2 50000001    0.000000    7.000000   6   5      1   0
   3 50001001    0.000000   10.500000   6   5   1001   0
   4 50001002    0.000000   15.000000   6   5   1002   0
   5 50001003    0.000000   15.000000   6   5   1003   0
   6 50002003    0.000000   21.000000   6   5   2003   0
   7 50002004    0.000000    5.000000   6   5   2004   0
   8 50050114    0.000000  120.000000   6   5  50114   0
   9 50051115    0.000000  110.000000   6   5  51115   0
  10 50051116    0.000000  110.000000   6   5  51116   0
  11 53051116    0.000000  110.000000   6   5  51116   3
  12 50052116    0.000000  120.000000   6   5  52116   0
  13 50052117    0.000000  110.000000   6   5  52117   0
  14 50052118    0.000000  110.000000   6   5  52118   0
  15 50052119    0.000000  110.000000   6   5  52119   0
  16 52052119    0.000000  110.000000   6   5  52119   2
  17 50052120    0.000000  110.000000   6   5  52120   0
  18 50053117    0.000000  130.000000   6   5  53117   0
  19 50053118    0.000000  130.000000   6   5  53118   0
  20 54053118    0.000000  130.000000   6   5  53118   4
  21 50053119    0.000000  110.000000   6   5  53119   0
  22 50053120    0.000000  110.000000   6   5  53120   0
  23 63053120    0.000000  110.000000   6   5  53120  13
  24 50053121    0.000000  100.000000   6   5  53121   0
  25 50053122    0.000000  100.000000   6   5  53122   0
  26 50054118    0.000000  140.000000   6   5  54118   0
  27 50054119    0.000000  130.000000   6   5  54119   0
  28 50054120    0.000000  120.000000   6   5  54120   0
  29 50054121    0.000000  110.000000   6   5  54121   0
  30 50054122    0.000000  100.000000   6   5  54122   0
  31 50054123    0.000000  100.000000   6   5  54123   0
  32 50054124    0.000000  100.000000   6   5  54124   0
  33 50054125    0.000000   95.000000   6   5  54125   0
  34 52054125    0.000000   95.000000   6   5  54125   2
  35 50054126    0.000000   90.000000   6   5  54126   0
  36 50054127    0.000000   90.000000   6   5  54127   0
  37 52054127    0.000000   90.000000   6   5  54127   2
  38 50054128    0.000000   90.000000   6   5  54128   0
  39 50054129    0.000000   85.000000   6   5  54129   0
  40 52054129    0.000000   85.000000   6   5  54129   2
  41 50054130    0.000000   85.000000   6   5  54130   0
  42 50054131    0.000000   85.000000   6   5  54131   0
  43 52054131    0.000000   85.000000   6   5  54131   2
  44 50054132    0.000000   85.000000   6   5  54132   0
  45 50055119    0.000000  160.000000   6   5  55119   0
  46 51055119    0.000000  160.000000   6   5  55119   1
  47 50055120    0.000000  150.000000   6   5  55120   0
  48 55055120    0.000000  150.000000   6   5  55120   5
  49 50055121    0.000000  130.000000   6   5  55121   0
  50 51055121    0.000000  130.000000   6   5  55121   1
  51 50055122    0.000000  120.000000   6   5  55122   0
  52 58055122    0.000000  120.000000   6   5  55122   8
  53 50055123    0.000000  110.000000   6   5  55123   0
  54 55055123    0.000000  110.000000   6   5  55123   5
  55 50055124    0.000000  110.000000   6   5  55124   0
  56 75055124    0.000000  110.000000   6   5  55124  25
  57 50055125    0.000000  100.000000   6   5  55125   0
  58 50055126    0.000000   95.000000   6   5  55126   0
  59 50055127    0.000000   85.000000   6   5  55127   0
  60 50055128    0.000000   85.000000   6   5  55128   0
  61 50055129    0.000000   78.000000   6   5  55129   0
  62 50055130    0.000000   74.000000   6   5  55130   0
  63 54055130    0.000000   74.000000   6   5  55130   4
  64 50055131    0.000000   70.000000   6   5  55131   0
  65 50055132    0.000000   70.000000   6   5  55132   0
  66 50055133    0.000000   66.000000   6   5  55133   0
  67 50055134    0.000000   62.000000   6   5  55134   0
  68 53055134    0.000000   62.000000   6   5  55134   3
  69 50055135    0.000000   60.000000   6   5  55135   0
  70 60055135    0.000000   60.000000   6   5  55135  10
  71 50056121    0.000000  150.000000   6   5  56121   0
  72 50056122    0.000000  140.000000   6   5  56122   0
  73 50056123    0.000000  130.000000   6   5  56123   0
  74 50056124    0.000000  120.000000   6   5  56124   0
  75 50056125    0.000000  110.000000   6   5  56125   0
  76 50056126    0.000000  100.000000   6   5  56126   0
  77 50056127    0.000000   90.000000   6   5  56127   0
  78 52056127    0.000000   90.000000   6   5  56127   2
  79 50056128    0.000000   85.000000   6   5  56128   0
  80 50056129    0.000000   78.000000   6   5  56129   0
  81 51056129    0.000000   78.000000   6   5  56129   1
  82 50056130    0.000000   72.000000   6   5  56130   0
  83 50056131    0.000000   68.000000   6   5  56131   0
  84 52056131    0.000000   68.000000   6   5  56131   2
  85 50056132    0.000000   60.000000   6   5  56132   0
  86 50056133    0.000000   54.000000   6   5  56133   0
  87 52056133    0.000000   54.000000   6   5  56133   2
  88 50056134    0.000000   44.000000   6   5  56134   0
  89 50056135    0.000000   38.000000   6   5  56135   0
  90 52056135    0.000000   38.000000   6   5  56135   2
  91 50056136    0.000000   28.000000   6   5  56136   0
  92 50056137    0.000000   17.000000   6   5  56137   0
  93 52056137    0.000000   17.000000   6   5  56137   2
  94 50056138    0.000000    1.000000   6   5  56138   0
  95 50056139    0.000000   44.000000   6   5  56139   0
  96 50057123    0.000000  160.000000   6   5  57123   0
  97 50057124    0.000000  150.000000   6   5  57124   0
  98 51057124    0.000000  150.000000   6   5  57124   1
  99 50057125    0.000000  130.000000   6   5  57125   0
 100 50057126    0.000000  120.000000   6   5  57126   0
 101 51057126    0.000000  130.000000   6   5  57126   1
 102 50057127    0.000000  110.000000   6   5  57127   0
 103 51057127    0.000000  110.000000   6   5  57127   1
 104 50057128    0.000000  100.000000   6   5  57128   0
 105 56057128    0.000000  100.000000   6   5  57128   6
 106 50057129    0.000000   95.000000   6   5  57129   0
 107 50057130    0.000000   90.000000   6   5  57130   0
 108 50057131    0.000000   80.000000   6   5  57131   0
 109 50057132    0.000000   72.000000   6   5  57132   0
 110 54057132    0.000000   72.000000   6   5  57132   4
 111 50057133    0.000000   66.000000   6   5  57133   0
 112 50057134    0.000000   60.000000   6   5  57134   0
 113 50057135    0.000000   56.000000   6   5  57135   0
 114 50057136    0.000000   48.000000   6   5  57136   0
 115 50057137    0.000000   40.000000   6   5  57137   0
 116 50057138    0.000000   32.000000   6   5  57138   0
 117 50057139    0.000000   25.000000   6   5  57139   0
 118 50057140    0.000000   19.500000   6   5  57140   0
 119 50057141    0.000000   14.500000   6   5  57141   0
