 
--------------------------------------------------------------------------------
 83-Bi-209   T= 0.00 K from IAEA/PD-2019       (ACEMAKER)
 ZAID= 83209.38u  MAT=8325  ZA= 83209
 AWR= 207.185200  STA=  0  ELIS=   0.000 MeV  LIS=  0  LISO=  0
--------------------------------------------------------------------------------
 NTOTR= 155 NTRAN=   1 NPROD= 154 NE=      89 EMAX= 200.000 MeV
   i   FMn/MT     Q [MeV]     T [MeV] LMF  MT    ZAP LFS
   1        5    0.000000    1.000000   3   5
   2 50000001    0.000000    7.000000   6   5      1   0
   3 50001001    0.000000    7.000000   6   5   1001   0
   4 50001002    0.000000   13.000000   6   5   1002   0
   5 50001003    0.000000   14.000000   6   5   1003   0
   6 50002003    0.000000   20.000000   6   5   2003   0
   7 50002004    0.000000    5.500000   6   5   2004   0
   8 50077183    0.000000  110.000000   6   5  77183   0
   9 50077184    0.000000  110.000000   6   5  77184   0
  10 50078184    0.000000  110.000000   6   5  78184   0
  11 50078185    0.000000  110.000000   6   5  78185   0
  12 52078185    0.000000  110.000000   6   5  78185   2
  13 50078186    0.000000  110.000000   6   5  78186   0
  14 50078187    0.000000  110.000000   6   5  78187   0
  15 50078188    0.000000  110.000000   6   5  78188   0
  16 50079185    0.000000  120.000000   6   5  79185   0
  17 56079185    0.000000  120.000000   6   5  79185   6
  18 50079186    0.000000  110.000000   6   5  79186   0
  19 50079187    0.000000  110.000000   6   5  79187   0
  20 52079187    0.000000  110.000000   6   5  79187   2
  21 50079188    0.000000  100.000000   6   5  79188   0
  22 50079189    0.000000  100.000000   6   5  79189   0
  23 53079189    0.000000  100.000000   6   5  79189   3
  24 50079190    0.000000  100.000000   6   5  79190   0
  25 50079191    0.000000   90.000000   6   5  79191   0
  26 50079192    0.000000   85.000000   6   5  79192   0
  27 50079193    0.000000   85.000000   6   5  79193   0
  28 54079193    0.000000   85.000000   6   5  79193   4
  29 50079194    0.000000   85.000000   6   5  79194   0
  30 50079195    0.000000   85.000000   6   5  79195   0
