 
--------------------------------------------------------------------------------
 60-Nd-144   T= 0.00 K from IAEA/PD-2019       (ACEMAKER)
 ZAID= 60144.38u  MAT=6031  ZA= 60144
 AWR= 142.673800  STA=  0  ELIS=   0.000 MeV  LIS=  0  LISO=  0
--------------------------------------------------------------------------------
 NTOTR= 138 NTRAN=   1 NPROD= 137 NE=      89 EMAX= 200.000 MeV
   i   FMn/MT     Q [MeV]     T [MeV] LMF  MT    ZAP LFS
   1        5    0.000000    1.000000   3   5
   2 50000001    0.000000    7.500000   6   5      1   0
   3 50001001    0.000000    9.500000   6   5   1001   0
   4 50001002    0.000000   14.500000   6   5   1002   0
   5 50001003    0.000000   15.500000   6   5   1003   0
   6 50002003    0.000000   20.000000   6   5   2003   0
   7 50002004    0.000000    4.500000   6   5   2004   0
   8 50051115    0.000000  120.000000   6   5  51115   0
   9 50051116    0.000000  120.000000   6   5  51116   0
  10 53051116    0.000000  120.000000   6   5  51116   3
  11 50052116    0.000000  120.000000   6   5  52116   0
  12 50052117    0.000000  120.000000   6   5  52117   0
  13 50053117    0.000000  120.000000   6   5  53117   0
  14 50053118    0.000000  120.000000   6   5  53118   0
  15 54053118    0.000000  120.000000   6   5  53118   4
  16 50053119    0.000000  120.000000   6   5  53119   0
  17 50053120    0.000000  120.000000   6   5  53120   0
  18 63053120    0.000000  120.000000   6   5  53120  13
  19 50054118    0.000000  130.000000   6   5  54118   0
  20 50054119    0.000000  120.000000   6   5  54119   0
  21 50054120    0.000000  120.000000   6   5  54120   0
  22 50054121    0.000000  120.000000   6   5  54121   0
  23 50054122    0.000000  120.000000   6   5  54122   0
  24 50054123    0.000000  120.000000   6   5  54123   0
  25 50055119    0.000000  140.000000   6   5  55119   0
  26 51055119    0.000000  140.000000   6   5  55119   1
  27 50055120    0.000000  130.000000   6   5  55120   0
  28 55055120    0.000000  130.000000   6   5  55120   5
  29 50055121    0.000000  120.000000   6   5  55121   0
  30 51055121    0.000000  120.000000   6   5  55121   1
  31 50055122    0.000000  110.000000   6   5  55122   0
  32 58055122    0.000000  110.000000   6   5  55122   8
