Retrieved by E4-util: 2019/11/11,14:57:08                            1 0  0
 2.405300+4 5.248600+1         -1          0         38          12434 1451
 0.000000+0 0.000000+0          0          0          0          62434 1451
 0.000000+0 2.000000+8          0          0          0          32434 1451
 0.000000+0 0.000000+0          0          0         91          92434 1451
 24-Cr- 53 CNDC       EVAL-DEC18 X.TAO,J.WANG,R.XU,Y.TIAN,Z.GE    2434 1451
NDS 163 109 (2020)    DIST-JUN20                                  2434 1451
----IAEA/PD-2019      MATERIAL 2434                               2434 1451
-----PHOTO-NUCLEAR DATA                                           2434 1451
------ENDF-6 FORMAT                                               2434 1451
******************************************************************2434 1451
AUTHORS: XI TAO, JIMIN WANG, RUIRUI XU, YUAN TIAN, ZHIGANG GE     2434 1451
         China Nuclear Data Center.                               2434 1451
******************************************************************2434 1451
HISTORY                                                           2434 1451
18-12 CENDL-3 WAS EVALUATED BY XI TAO IN THE ENERGY RANGE 1.0-5 EV2434 1451
      TO 200.0MEV.                                                2434 1451
*********************** CENDL-3.1 ********************************2434 1451
 THE PHOTONUCLEAR DATA OF CR ISOTOPES WERE NEWLY EVALUATED AT CNDC2434 1451
 BASED ON THE THEORETICAL CALCULATION AND EXPERIMENTAL DATA       2434 1451
 EVALUATION.                                                      2434 1451
                                                                  2434 1451
 THE THEORETICAL PHOTONUCLEAR REACTION CODE, MEND-G, WAS          2434 1451
 DEVELOPED BASED ON THE CODE MEND /1/ BY CNDC IN COOPERATION WITH 2434 1451
 NANKAI UNIVERSITY IN 2016, TO CALCULATE THE PHOTON INDUCED       2434 1451
 REACTIONS ON THE MEDIUM-HEAVY NUCLEI UP TO 200MEV. EIGHTEEN      2434 1451
 EMISSION PROCESSES WERE CONSIDERED IN THE CURRENT PHOTONUCLEAR   2434 1451
 REACTIONS, AND THE SPHERICAL OPTICAL MODEL, PRE-EQUILIBRIUM      2434 1451
 STATISTICAL THEORY, EVAPORATION THEORY AND HAUSER-FESHBACH       2434 1451
 THEORY WERE INVOLVED IN OUR CALCULATION.                         2434 1451
 (1) OPTICAL MODEL (OM)                                           2434 1451
 N, P, D, T, 3HE, ALPHA WERE CONSIDERED IN THE PARTICLE EMISSION  2434 1451
 PROCESS. THE OPTICAL MODEL POTENTIAL IN BECCHETTI-GREENLEES      2434 1451
 FORMULA WAS ADOPTED TO CALCULATE THE INVERSE CROSS SECTIONS OF   2434 1451
 D, T, 3HE, ALPHA AND THE PARAMETERS WERE TAKEN FROM RIPL-2, AND  2434 1451
 THE KONING-DECLAROCHE POTENTIAL IS UTILIZED TO DEAL WITH THE     2434 1451
 NEUTRON AND PROTON.                                              2434 1451
 (2) PRE-EQUILIBRIUM STATISTICAL, EVAPORATION AND HAUSER-FESHBACH 2434 1451
     THEORY                                                       2434 1451
                                                                  2434 1451
 THE EXCITON MODEL WITH THE 2P-2H DOOR STATE WAS UTILIZED IN THIS 2434 1451
 CALCULATION AND THE STATE DENSITY PARAMETERS IN THE WILLIAMS     2434 1451
 FORMULA SCHEME WERE TAKEN IN OUR WORK.                           2434 1451
                                                                  2434 1451
 THE EMPIRICAL GIBERT-CAMERON-IGNACHUK-CHIBA AND SUZONGDI LEVEL   2434 1451
 DENSITY FORMULA WERE UTILIZED IN THE HF CALCULATION. SOME        2434 1451
 MODIFICATIONS WERE ALSO PERFORMED TO GET THE BETTER FITTING.     2434 1451
                                                                  2434 1451
   FILE INFORMATION                                               2434 1451
 MF=1          GENERAL INFORMATION                                2434 1451
   MT=451  DESCRIPTIVE DATA AND DICTIONARY                        2434 1451
 MF=3          CROSS SECTIONS                                     2434 1451
   MT=3    ABSORPTION CROSS SECTION                               2434 1451
     THE ABSORPTION CROSS SECTION EVALUATED BY EGLO METHOD, AND   2434 1451
   THE PARAMETERS WAS SHOWN IN TABLE 1.                           2434 1451
                  TABLE 1. PSF PARAMETERS OF CR-53                2434 1451
        ISOTOPES   E    GAMMA  SIGMA   E    GAMMA  SIGMA          2434 1451
        CR-52    18.43  72.49  4.41  21.42  47.38  8.97           2434 1451
   MT=5    (N,ANYTHING) CROSS SECTION                             2434 1451
     THE INFORMATION OF MF3/MT5 CAN BE COMBINED WITH MF6/MT5 TO   2434 1451
   OBTAIN RESIDUAL PRODUCTION CROSS SECTIONS PARTICLE PRODUCTION  2434 1451
   CROSS SECTIONS AND (DOUBLE-)DIFFERENTIAL CROSS SECTIONS.       2434 1451
     THE ENERGY LEVEL PARAMETERS AND PAIR ENERGY PARAMETERS WERE  2434 1451
   ADJUSTED AND SHOWN IN TABLE 2 AND TABLE 3.                     2434 1451
                  TABLE 2. ENERGY LEVEL PARAMETERS                2434 1451
        P/N    0         1         2         3                    2434 1451
        0      6.080160  5.416320  6.232200  5.736000             2434 1451
        1      6.926400  6.254640  7.034000  6.526800             2434 1451
        2      6.523920  5.868000  6.634600  6.140160             2434 1451
        3      6.704000  6.052480  6.794880  6.301760             2434 1451
                  TABLE 3. PAIR ENERGY PARAMETERS                 2434 1451
        P/N    0         1         2         3                    2434 1451
        0      1.200000  2.400000  1.000000  2.560000             2434 1451
        1     -0.260000  0.940000 -0.460000  1.100000             2434 1451
        2      1.530000  2.730000  1.330000  2.890000             2434 1451
        3      0.000000  1.200000 -0.200000  1.360000             2434 1451
   MT=201  TOTAL NEUTRON PRODUCTION                               2434 1451
     CALCULATION BY MEND-G WAS ADOPTED.                           2434 1451
   MT=203  TOTAL PROTON PRODUCTION                                2434 1451
     CALCULATION BY MEND-G WAS ADOPTED.                           2434 1451
   MT=204  TOTAL DEUTERON PRODUCTION                              2434 1451
     CALCULATION BY MEND-G WAS ADOPTED.                           2434 1451
   MT=205  TOTAL TRITON PRODUCTION                                2434 1451
     CALCULATION BY MEND-G WAS ADOPTED.                           2434 1451
   MT=206  TOTAL 3HE PRODUCTION                                   2434 1451
     CALCULATION BY MEND-G WAS ADOPTED.                           2434 1451
   MT=207  TOTAL ALPHA PARTICLE PRODUCTION                        2434 1451
     CALCULATION BY MEND-G WAS ADOPTED.                           2434 1451
 MF=6           PRODUCT ENERGY-ANGLE DISTRIBUTIONS                2434 1451
   MT=5                                                           2434 1451
     CALCULATION BY MEND-G WAS ADOPTED.                           2434 1451
*********************** R E F E R E N C E S **********************2434 1451
 [1].CAI CHONGHAI. MEND: A CODE FOR CALCULATING NUCLEAR DATA OF   2434 1451
     MEDIUM-HEAVY NUCLEI BELOW 250 MEV. NUCLEAR PHYSICS REVIEW,   2434 1451
     28(3),354-365(2011).                                         2434 1451
************************* C O N T E N T S ************************2434 1451
                                1        451        104          02434 1451
                                3          5         37          02434 1451
                                3        201         34          02434 1451
                                3        203         33          02434 1451
                                3        204         28          02434 1451
                                3        205         24          02434 1451
                                3        206         24          02434 1451
                                3        207         33          02434 1451
                                6          5      26309          02434 1451
                                                                  2434 1  0
                                                                  2434 0  0
 2.405300+4 5.248600+1          0          0          0          02434 3  5
 0.000000+0 0.000000+0          0          0          1        1022434 3  5
        102          2                                            2434 3  5
 1.000000-5 0.000000+0 2.530000-2 0.000000+0 9.990000+5 0.000000+02434 3  5
 1.000000+6 7.588660-8 2.000000+6 1.232890-6 3.000000+6 6.404210-62434 3  5
 4.000000+6 2.100060-5 5.000000+6 5.389230-5 6.000000+6 1.194710-42434 3  5
 7.000000+6 2.412500-4 8.000000+6 4.567620-4 9.000000+6 8.247470-42434 3  5
 1.100000+7 2.450000-3 1.130000+7 2.957000-3 1.160000+7 3.464000-32434 3  5
 1.200000+7 4.140000-3 1.240000+7 5.296000-3 1.280000+7 6.452000-32434 3  5
 1.320000+7 8.050000-3 1.360000+7 1.009000-2 1.400000+7 1.213000-22434 3  5
 1.440000+7 1.592600-2 1.480000+7 1.972200-2 1.520000+7 2.467600-22434 3  5
 1.560000+7 3.137400-2 1.600000+7 3.983000-2 1.640000+7 5.114200-22434 3  5
 1.680000+7 6.436200-2 1.720000+7 7.834600-2 1.760000+7 9.149000-22434 3  5
 1.800000+7 1.017300-1 1.840000+7 1.055300-1 1.880000+7 1.054960-12434 3  5
 1.920000+7 1.030240-1 1.960000+7 9.921400-2 2.000000+7 9.487000-22434 3  5
